"id","Year","EventName","HijriDate","CurrentDate"
"1","2021","Shab E Miraj","27 Rajab 1442 AH","11 March 2021"
"2","2021","Shab E Barat","15 Shaban 1442 AH","28 March 2021"
"3","2021","1st Day of Ramadan","1 Ramadan 1442 AH","13 April 2021"
"4","2021","Laylat Al Qadr","27 Ramadan 1442 AH","9 May 2021"
"5","2021","Eid-Ul-Fitr","1 Shawwal 1442 AH","13 May 2021"
"6","2021","Waqf Al Arafa (Hajj)","9 Zulhijjah 1442 AH","19 July 202"
"7","2021","Eid-ul-Adha","10 Zulhijjah 1442 AH","20 July 2021"
"8","2021","1st Muharram","1 Muharram 1443 AH","8 August 2021"
"9","2021","Ashura","10 Muharram 1443 AH","18 August 2021"
"10","2021","12 Rabi Ul Awal","12 Rabi Ul Awal 1442 AH","19 October 2021"
