"id","Year","Lunation","New_Moon_D","New_Moon_T","Full_Quarter_D","Full_Quarter_T","Full_Moon_D","Full_Moon_T","Third_Quarter_D","Third_Quarter_T","Duration"
"1","2021","1213","13 January","1:00 PM","21 January","5:01 AM","29 January","3:16 AM","5 February","1:37 AM","29d 14h 06m"
"2","2021","1214","12 February","3:05 AM","20 February","2:47 AM","27 February","4:17 PM","6 March","9:30 AM","29d 15h 15m"
"3","2021","1215","13 March","6:21 PM","21 March","10:40 PM","29 March","2:48 AM","4 April","6:02 PM","29d 16h 10m"
"4","2021","1216","12 April","10:30 AM","20 April","2:58 PM","27 April","11:31 AM","4 May","3:50 AM","29d 16h 29m"
"5","2021","1217","12 May","2:59 AM","20 May","3:12 AM","26 May","7:13 PM","2 June","3:24 PM","29d 15h 53m"
"6","2021","1218","10 June","6:52 PM","18 June","11:54 AM","25 June","2:39 Am","2 July","5:10 AM","29d 14h 24m"
"7","2021","1219","10 July","9:16 AM","17 July","6:10 PM","24 July","10:36 AM","31 July","9:15 PM","29d 12h 34m"
"8","2021","1220","8 August","9:50 PM","15 August","11:19 PM","22 August","8:01 PM","30 August","3:13 PM","29d 11h 02m"
"9","2021","1221","7 September","8:51 AM ","14 September","4:39 AM","21 September","7:54 AM","29 September","9:57 AM","29d 10h 14m"
"10","2021","1222","6 October","7:05 PM","13 October","11:25 AM","20 October","10:56 PM","29 October","9:57 AM","29d 10h 09m"
"11","2021","1223","5 November","5:14 AM","11 November","8:45 PM","19 November","4:57 PM","27 November","8:27 PM","29d 10h 28m"
"12","2021","1224","4 December","3:43 PM","11 December","9:35 AM","19 December","12:35 PM","27 December","10:23 AM","29d 10h 51m"
